shuāng shuang1
bú bu2
hāo hao1
shān shan1
cì ci4
pà pa4
cuì cui4
hòu hou4
dài dai4
lìn lin4
guǎng guang3
juān juan1
huó huo2
ne2 ne2
kùn kun4
shèng sheng4
tuí tui2
tào tao4
tiáo tiao2
la la5
nuó nuo2
téng teng2
wá wa2
kuàng kuang4
pēi pei1
yuè yue4
yàng yang4
gǎi gai3
hǎo hao3
chen chen5
zhóu zhou2
sǐ si3
chuāi chuai1
jie jie5
jù ju4
mēng meng1
qiu qiu5
qiān qian1
tang tang5
tuì tui4
cā ca1
tuàn tuan4
duān duan1
fěn fen3
guāi guai1
shí shi2
weì wei4
shu shu5
qiǎng qiang3
wěi wei3
xué xue2
lǒu lou3
yǒng yong3
zhòu zhou4
zuàn zuan4
miē mie1
shuài shuai4
fēn fen1
tā ta1
āi ai1
āo ao1
bai bai5
sǎn san3
bǐng bing3
shāng shang1
t xù
mēn men1
ráo rao2
gēng geng1
pàn pan4
kuí kui2
pào pao4
sòng song4
xiang xiang5
fáng fang2
pèi pei4
fēi fei1
dai dai5
qiǎ qia3
dòu dou4
xie xie5
xiě xie3
yíng ying2
zhá zha2
ha ha5
guǎn guan3
guǎi guai3
ní ni2
báo bao2
mián mian2
tu tu5
yìn yin4
lǒng long3
zuō zuo1
hēi hei1
lào lao4
nì ni4
án an2
è e4
dān dan1
ā a1
jue jue1
juǎn juan3
dǔ du3
pēng peng1
shuān shuan1
chu chu5
lùn lun4
shēn shen1
ér er2
dao dao5
huo huo5
kuò kuo4
zè ze4
ěr er3
mǎi mai3
chā cha1
xūn xun1
ceng ceng5
nìng ning4
táng tang2
bian bian5
bù bu4
tóng tong2
wò wo4
hāng hang1
mín min2
róng rong2
hù hu4
gù gu4
gǒng gong3
zhǎ zha3
chá cha2
hǒu hou3
zi zi5
jué jue2
biè bie4
wǎ wa3
qiáo qiao2
yōng yong1
cào cao4
chēn chen1
hé he2
mào mao4
suī sui1
chong chong5
fan fan5
cāng cang1
kǔ ku3
dou dou5
lu:2 lu:2
zé ze2
ba ba5
qián qian2
tōu tou1
gāo gao1
bèi bei4
jiàng jiang4
zhǎi zhai3
cùn cun4
hā ha1
feng feng5
jǐng jing3
cèng ceng4
póu pou2
qióng qiong2
què que4
rèn ren4
na na5
shuǎng shuang3
tòng tong4
bēn ben1
bǐ bi3
chù chu4
dao2 dao2
xiáng xiang2
bǎi bai3
làn lan4
rán ran2
tòu tou4
liǎ lia3
qīn qin1
zhà zha4
le le5
liàng liang4
niú niu2
i i
něi nei3
pǐ pi3
rén ren2
suǎn suan3
wèn wen4
liáo liao2
nóng nong2
nún nun2
sei2 sei2
xiāo xiao1
pā pa1
zàn zan4
ē e
chuái chuai2
fén fen2
diāo diao1
pū pu1
yòng yong4
cáng cang2
èr er4
é e2
shàn shan4
lèng leng4
tún tun2
xiǎng xiang3
chuí chui2
kai kai5
xín xin2
xú xu2
tiē tie1
kūn kun1
rě re3
lǔ lu3
mài mai4
rú ru2
shāi shai1
ruǐ rui3
shōu shou1
xiā xia1
zhu zhu5
huái huai2
gu gu5
du du5
liao liao5
chè che4
hú hu2
lǐn lin3
nong nong5
wān wan1
xuè xue4
kǎi kai3
shén shen2
wù wu4
xīng xing1
rǎo rao3
méng meng2
yán yan2
qiǔ qiu3
chuǎng chuang3
fū fu1
hǎ ha3
hài hai4
rang rang5
shǎi shai3
sui sui5
xǐng xing3
quān quan1
biě bie3
mú mu2
mò mo4
zā za1
miù miu4
lá la2
tǐ ti3
g g
gòng gong4
kan kan5
xin xin5
zan zan5
chi chi5
suí sui2
zhǒng zhong3
quàn quan4
dā da1
zhūn zhun1
chán chan2
lóng long2
aò ao4
de de5
guài guai4
mán man2
nai nai5
le le1
mā ma1
sēng seng1
tà ta4
yāng yang1
zhuàng zhuang4
cheng cheng5
yìng ying4
zhāi zhai1
zǎng zang3
guà gua4
là la4
tan tan5
áng ang2
nao nao5
chou chou5
j j
pèn pen4
men men5
zhuó zhuo2
péng peng2
zha zha5
zǒng zong3
wǎn wan3
tìng ting4
luó luo2
shuǎ shua3
shà sha4
rì ri4
bēi bei1
biān bian1
jiang jiang5
sū su1
ma ma5
qian qian5
bǒ bo3
yòu you4
fa fa5
hǔ hu3
chao chao5
yǐn yin3
zhuā zhua1
ye ye5
ō​ o1
gùn gun4
dùn dun4
xiān xian1
ēn en1
tǎ ta3
bīng bing1
cháng chang2
diān dian1
pīn pin1
po po5
m4 m4
chóng chong2
wén wen2
chǎn chan3
ó o4
luō luo1
nǐng ning3
shuí shui2
gong gong5
gōu gou1
jū ju1
qi qi5
gei1 gei1
qín qin2
da da5
ku ku5
qiě qie3
p tú
sè se4
sǒng song3
guó guo2
yūn yun1
zòng zong4
zōng zong1
duò duo4
jiě jie3
zhou zhou5
zū zu1
lai lai5
mó mo2
zhě zhe3
kuì kui4
xuàn xuan4
q q
lou lou5
fèng feng4
běi bei3
gá ga2
kǒu kou3
á a2
nan nan5
gāng gang1
shěn shen3
háo hao2
lín lin2
zuǒ zuo3
cū cu1
hǎi shēn
ge ge5
kào kao4
lì li4
móu mou2
tiào tiao4
tīng ting1
shan shan5
zǐ zi3
sōu sou1
nài nai4
lu:e4 lu:e4
jí ji2
jiǒng jiong3
niǎo niao3
lú lu2
tuò tuo4
gě ge3
sǎng sang3
wèng weng4
duǎn duan3
kēi kei1
jiè jie4
d d
chuài chuai4
liú liu2
cài cai4
biang4 biang4
náng nang2
pái pai2
shuō shuo1
sāng sang1
ai ai5
pīng ping1
nǎn nan3
pǎi xiè
pōu pou1
pen pen5
huì hui4
kuà kua4
līng ling1
pǒu pou3
gà ga4
jīng jing1
mei mei5
ta ta5
song song5
gān gan1
yì yi4
zhuài zhuai4
zhuan zhuan5
wō wo1
zhǔn zhun3
zǔ zu3
mǎ ma3
nāo nao1
ài ai4
áo ao2
zǎi zai3
wai wai5
zuo zuo5
mèi mei4
zhan zhan5
hóu hou2
gèn gen4
gōng gong1
kāi kai1
lan lan5
lēng leng1
xiòng xiong4
zài zai4
bài bai4
diē die1
chuāng chuang1
chàng chang4
gén gen2
tàn tan4
tān tan1
di di5
qiǎn qian3
róu rou2
kě ke3
liào liao4
luǒ luo3
qún qun2
yǒu you3
kē ke1
cún cun2
